DATES,Location,Week Num,Completed,OutBound USA,OutBound INT,OutBound WO,Production USA,Production  INT,INBOUND (REC),Total,Total LPs,Total Full INTL FG Pallets in the warehouse,Total partial INTL FG pallets in the warehouse,Total Full  US FG Pallets in the warehouse,Total partial US FG pallets in the warehouse,Total Full RM Pallets in the warehouse,Total partial RM pallets in the warehouse,"Total other full pallets (eg supplies, misc etc)",Total bins available in Warehouse,Sum of all occupied bins ,Pallets sitting in the Aisle ,Empty Bins,Bins Height above 60 (Empty Bins),Bins Height Below 60 (Empty Bins),Total pallets with no possibility = Pallets sitting in the aisles - Empty bins available (Current situation),RM pallets expected during week (inbound),Actual RM scheduled to go to production during week,FG from Production expected during week,Pallets scheduled for shipping during week
1/7/2026,CA-ONT,1,Done,-45,0,-12,40,0,96,79,4332,11,62,906,105,2823,306,119,4354,3665,,689,686,3,,,,,
1/8/2026,CA-ONT,1,Done,-18,0,-65,37,0,11,-35,,,,,,,,,,,,,,,,,,,
1/9/2026,CA-ONT,1,Done,-21,0,-37,37,0,12,-9,,,,,,,,,,,,,,,,,,,
1/12/2026,CA-ONT,2,Done,-67,0,-20,38,0,37,-12,,,,,,,,,,,,,,,,,,,
1/13/2026,CA-ONT,2,Done,-22,0,-14,35,2,26,27,,,,,,,,,,,,,,,,,,,
1/14/2026,CA-ONT,2,Done,-82,0,-102,30,10,0,-144,,,,,,,,,,,,,,,,,,,
1/15/2026,CA-ONT,2,Done,-61,0,-52,30,8,0,-75,4347,30,59,889,103,2746,365,155,4354,3615,230,739,737,2,,,,,
1/19/2026,CA-ONT,3,Done,-79,0,-17,17,23,0,-56,4352,53,50,904,104,2730,341,170,4354,3595,,759,757,2,,,,,
1/20/2026,CA-ONT,3,Done,-64,-10,-75,33,10,22,-84,4276,70,42,899,104,2649,339,173,4354,3536,,818,816,2,,,,,
1/21/2026,CA-ONT,3,Done,-79,-20,-36,20,9,73,-33,4258,74,43,834,97,2686,350,174,4354,3456,,898,896,2,,,,,
1/22/2026,CA-ONT,3,Done,-4,-4,-40,25,8,14,-1,4259,85,43,820,100,2674,363,174,4354,3523,,831,829,2,,,,,
1/23/2026,CA-ONT,3,Done,-42,0,-23,23,20,62,40,4314,92,38,823,95,2720,372,174,4354,3554,,800,798,2,,,,,
1/26/2026,CA-ONT,4,Done,-65,0,-48,22,21,20,-50,4337,140,14,831,53,2918,205,176,4354,3502,,852,850,2,,,,,
1/27/2026,CA-ONT,4,Done,-44,-30,-15,25,2,34,-28,4321,116,17,829,53,2926,204,176,4354,3506,,848,846,2,,,,,
1/28/2026,CA-ONT,4,Done,-27,0,-56,31,12,71,31,4323,101,24,844,53,2915,209,177,4354,3536,,818,816,2,,,,,
1/29/2026,CA-ONT,4,Done,-17,0,-36,37,7,21,12,4369,96,34,822,54,2976,210,177,4354,3507,,847,845,2,,,,,
1/30/2026,CA-ONT,4,Done,-35,0,-41,23,12,21,-20,4374,91,34,818,55,2989,210,177,4354,3518,,837,835,2,,,,,
2/2/2026,CA-ONT,5,Done,-28,-20,-49,23,9,11,-54,4377,86,33,813,56,3001,209,179,4354,3528,,826,824,2,,,,,
2/3/2026,CA-ONT,5,Done,-53,-20,-69,17,0,45,-80,4298,71,32,806,56,2954,200,179,4354,3496,,858,856,2,,,,,
2/4/2026,CA-ONT,5,Done,-23,-17,-40,20,9,16,-35,4301,80,16,814,58,2955,199,179,4354,3493,,861,859,2,,,,,
2/5/2026,CA-ONT,5,Done,-22,0,-24,23,8,77,62,4314,88,17,804,60,2973,192,180,4354,3455,,899,897,2,,,,,
2/6/2026,CA-ONT,5,Done,-33,0,-50,22,15,0,-46,4325,96,24,792,67,2972,194,180,4354,3476,,878,875,3,,,,,
2/9/2026,CA-ONT,6,Done,-52,0,-45,22,19,20,-36,4322,112,28,785,65,2956,196,180,4354,3494,,860,857,3,,,,,
2/10/2026,CA-ONT,6,Done,-60,0,-56,22,17,56,-21,4395,127,30,773,66,3024,195,180,4354,3500,,854,850,4,,,,,
2/11/2026,CA-ONT,6,Done,-21,-19,-48,20,14,25,-29,4361,126,34,763,66,2988,204,180,4354,3449,,905,901,4,,,,,
2/12/2026,CA-ONT,6,Done,-29,0,-15,23,12,20,11,4414,138,42,773,69,2999,213,180,4354,3520,,834,829,5,,,,,
2/13/2026,CA-ONT,6,Done,-24,-8,-52,21,7,20,-36,4478,158,45,822,72,2990,211,180,4354,3481,,873,869,4,,,,,
2/16/2026,CA-ONT,7,Done,-51,0,-25,22,2,67,15,4507,150,48,815,64,3054,196,180,4354,3508,,846,842,4,,,,,
2/17/2026,CA-ONT,7,Done,-29,-30,-97,23,0,26,-107,4401,97,48,807,65,3003,201,180,4354,3446,,908,904,4,,,,,
2/18/2026,CA-ONT,7,Done,0,-26,-10,22,7,11,4,4346,72,41,803,68,2980,202,180,4354,3367,,987,983,4,,,,,
2/19/2026,CA-ONT,7,Done,-35,-40,-50,25,8,12,-80,4236,72,37,786,73,2913,175,180,4354,3353,,1001,997,4,,,,,
2/20/2026,CA-ONT,7,Done,-41,-40,-30,23,14,52,-22,4273,80,31,779,69,2934,200,180,4354,3336,,1018,1014,4,,,,,
2/23/2026,CA-ONT,8,Done,-59,-20,-33,24,7,5,-76,4297,93,25,783,70,2941,203,182,4354,3345,,1009,1005,4,,,,,
2/24/2026,CA-ONT,8,Done,-33,-70,-13,21,8,6,-81,4268,70,25,783,74,2931,203,182,4354,3320,,1034,1030,4,,,,,
2/25/2026,CA-ONT,8,Done,-20,0,-17,23,29,56,71,4345,87,29,780,74,2980,209,186,4354,3344,,1010,1006,4,,,,,
2/26/2026,CA-ONT,8,Done,-14,-20,-19,22,23,60,52,4306,97,28,742,74,2971,208,186,4332,3308,,1024,1020,4,,,,,
2/27/2026,CA-ONT,8,Done,-41,0,-67,0,29,25,-54,4322,118,25,722,75,2991,205,186,4332,3323,,1009,1005,4,,,,,
3/2/2026,CA-ONT,9,Done,0,0,-49,0,34,1,-14,4330,151,26,720,75,2962,210,186,4332,3371,,961,957,4,,,,,
3/3/2026,CA-ONT,9,Done,-35,-26,-62,0,25,29,-69,4310,152,27,718,72,2945,209,187,4332,3319,,1013,1009,4,,,,,
3/4/2026,CA-ONT,9,Done,0,0,-27,0,26,47,46,4270,160,20,688,73,2939,202,188,4332,3293,,1039,1035,4,,,,,
3/5/2026,CA-ONT,9,Done,-14,0,-12,37,17,22,50,4343,173,22,716,73,2944,226,189,4332,3336,,996,992,4,,,,,
3/6/2026,CA-ONT,9,Done,-20,0,-49,28,17,20,-4,4382,171,22,713,75,2978,234,189,4332,3351,,981,977,4,,,,,
3/9/2026,CA-ONT,10,Done,-50,-40,-19,58,8,23,-20,4397,179,22,742,72,2949,243,190,4332,3380,,952,948,4,,,,,
3/10/2026,CA-ONT,10,Done,-20,0,-28,50,8,65,75,4491,183,22,774,74,3011,237,190,4332,3383,,949,945,4,,,,,
3/11/2026,CA-ONT,10,Done,,,,,,,,4458,186,22,806,75,2949,230,190,4332,3346,,986,982,4,,,,,
3/12/2026,CA-ONT,10,Done,,,,,,,,4443,190,23,782,72,2953,235,188,4332,3320,,1012,1008,4,,,,,
3/13/2026,CA-ONT,10,Done,,,,,,,,4462,187,23,803,77,2947,237,188,4332,3333,,999,995,4,,,,,
3/16/2026,CA-ONT,11,Done,,,,,,,,4441,195,24,808,76,2919,231,188,4332,3277,,1055,1051,4,,,,,
3/17/2026,CA-ONT,11,Done,,,,,,,,4442,177,24,853,84,2883,233,188,4332,3245,,1087,1083,4,,,,,
3/18/2026,CA-ONT,11,Done,,,,,,,,4398,153,23,849,86,2855,244,188,4332,3255,,1077,1073,4,,,,,
3/19/2026,CA-ONT,11,Done,,,,,,,,4418,149,25,851,89,2868,244,192,4364,3303,,1061,1057,4,,,,,
3/20/2026,CA-ONT,11,Done,,,,,,,,4413,152,29,829,91,2877,243,192,4364,3278,,1086,1082,4,,,,,
3/23/2026,CA-ONT,12,Done,,,,,,,,4390,155,37,793,94,2864,254,193,4336,3319,,1017,1013,4,,,,,
3/24/2026,CA-ONT,12,Done,,,,,,,,4256,155,42,741,92,2794,239,193,4336,3236,,1100,1096,4,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/10/2025,CA-2,37,Done,,,,,,,,,,,,,,,,,,,,,,,,,,
9/11/2025,CA-2,37,Done,,,,,,,,,0,2,,,,,,,,,,,,,,,,
9/12/2025,CA-2,37,Done,,,,,,,,,0,2,,,,,,,,,,,,,,,,
9/13/2025,CA-2,37,Done,,,,,,,,,0,2,,,,,,,,,,,,,,,,
9/15/2025,CA-2,38,Done,,,,,,,,,0,2,,,,,,,,,,,,,,,,
9/16/2025,CA-2,38,Done,,,,,,,,,0,2,,,,,,,,,,,,,,,,
9/17/2025,CA-2,38,Done,,,,,,,,,0,3,,,,,,,,,,,,,,,,
9/22/2025,CA-2,39,Done,,,,,,,,,0,3,,,,,,,,,,,,,,,,
12/9/2025,CA-2,50,Done,,,,,,,,,0,0,1999,280,0,0,,,,,,,,,,,,
12/10/2025,CA-2,50,Done,,,,,,,,2286,0,0,2038,247,0,0,1,2290,2276,,14,10,4,,,,,
12/11/2025,CA-2,50,Done,,,,,,,,2291,0,0,2060,230,0,0,1,2290,2289,,1,1,0,,,,,
12/12/2025,CA-2,50,Done,,,,,,,,2393,0,0,2138,254,0,0,1,2290,2288,,2,2,0,,,,,
12/13/2025,CA-2,50,Done,,,,,,,,2398,0,0,2145,252,0,0,1,2290,2286,,4,3,1,,,,,
12/14/2025,CA-2,50,Done,,,,,,,,2406,0,0,2153,252,0,0,1,2290,2290,,0,0,0,,,,,
12/15/2025,CA-2,50,Done,,,,,,,,2408,0,0,2153,254,0,0,1,2290,2289,,1,1,0,,,,,
12/16/2025,CA-2,50,Done,,,,,,,,2407,0,0,2147,255,0,0,1,2290,2290,,0,2,23,,,,,
12/19/2025,CA-2,50,Done,,,,,,,,2443,0,0,2179,263,0,0,1,2290,2289,,1,0,1,,,,,
12/22/2025,CA-2,50,Done,,,,,,,,2406,4,4,2143,254,0,0,1,2290,2289,,1,0,1,,,,,
12/23/2025,CA-2,50,Done,,,,,,,,2399,4,4,2133,257,0,0,1,2290,2285,,5,4,1,,,,,
12/24/2025,CA-2,50,Done,,,,,,,,2372,4,4,2114,249,0,0,1,2290,2277,151,13,12,1,,,,,
12/29/2025,CA-2,50,Done,,,,,,,,2446,15,4,2209,217,0,0,1,2290,2289,,1,0,1,,,,,
12/30/2025,CA-2,50,Done,,,,,,,,2404,13,4,2195,191,0,0,1,2290,2283,,7,1,6,,,,,
12/31/2025,CA-2,50,Done,,,,,,,,2404,13,4,2192,194,0,0,1,2290,2287,,3,0,3,,,,,
1/2/2026,CA-2,1,Done,,,,,,,,2387,13,4,2172,197,0,0,1,2290,2272,,18,17,1,,,,,
1/6/2026,CA-2,1,Done,,,,,,,,2352,13,4,2125,209,0,0,1,2290,2284,,6,4,2,,,,,
1/12/2026,CA-2,2,Done,,,,,,,,2432,0,0,2223,208,0,0,1,2290,2288,,2,1,1,,,,,
1/15/2026,CA-2,2,Done,,,,,,,,2469,0,0,2261,207,0,0,1,2290,2286,269,4,2,2,,,,,
1/19/2026,CA-2,3,Done,,,,,,,,2510,0,0,2280,229,0,0,1,2290,2287,,3,1,2,,,,,
1/20/2026,CA-2,3,Done,,,,,,,,2489,0,0,2256,232,0,0,1,2290,2286,278,4,2,2,,,,,
1/21/2026,CA-2,3,Done,,,,,,,,2477,0,0,2244,232,0,0,1,2290,2287,,3,1,2,,,,,
1/22/2026,CA-2,3,Done,,,,,,,,2500,0,0,2271,228,0,0,1,2290,2288,,2,2,0,,,,,
1/23/2026,CA-2,3,Done,,,,,,,,2464,0,0,2261,202,0,0,1,2290,2289,,1,1,0,,,,,
1/26/2026,CA-2,4,Done,,,,,,,,2466,0,0,2289,176,0,0,1,2290,2278,,12,11,1,,,,,
1/27/2026,CA-2,4,Done,,,,,,,,2458,0,0,2280,177,0,0,1,2290,2290,263,0,0,0,,,,,
1/28/2026,CA-2,4,Done,,,,,,,,2486,0,0,2302,183,0,0,1,2290,2288,,2,2,0,,,,,
1/29/2026,CA-2,4,Done,,,,,,,,2439,0,0,2258,180,0,0,1,2290,2286,,4,4,0,,,,,
1/30/2026,CA-2,4,Done,,,,,,,,2376,0,0,2197,178,0,0,1,2290,2286,,4,4,0,,,,,
2/2/2026,CA-2,5,Done,,,,,,,,2357,0,0,2180,176,0,0,1,2290,2237,,53,53,0,,,,,
2/3/2026,CA-2,5,Done,,,,,,,,2336,0,0,2162,173,0,0,1,2290,2235,,55,55,0,,,,,
2/4/2026,CA-2,5,Done,,,,,,,,2364,0,0,2189,174,0,0,1,2290,2249,,41,41,0,,,,,
2/5/2026,CA-2,5,Done,,,,,,,,2351,0,0,2175,175,0,0,1,2290,2261,,29,29,0,,,,,
2/6/2026,CA-2,5,Done,,,,,,,,2392,0,0,2213,178,0,0,1,2290,2275,,15,15,0,,,,,
2/9/2026,CA-2,6,Done,,,,,,,,2417,0,0,2243,173,0,0,1,2290,2285,,5,3,2,,,,,
2/10/2026,CA-2,6,Done,,,,,,,,2400,0,0,2241,158,0,0,1,2290,2288,,2,1,1,,,,,
2/11/2026,CA-2,6,Done,,,,,,,,2353,0,0,2202,150,0,0,1,2290,2264,,26,22,4,,,,,
2/12/2026,CA-2,6,Done,,,,,,,,2343,0,0,2189,153,0,0,1,2290,2274,,16,14,2,,,,,
2/13/2026,CA-2,6,Done,,,,,,,,2353,0,0,2207,145,0,0,1,2290,2280,,10,8,2,,,,,
2/16/2026,CA-2,7,Done,,,,,,,,2423,0,0,2283,139,0,0,1,2290,2279,,11,8,3,,,,,
2/17/2026,CA-2,7,Done,,,,,,,,2415,0,0,2274,140,0,0,1,2290,2278,,12,12,0,,,,,
2/18/2026,CA-2,7,Done,,,,,,,,2402,0,0,2259,142,0,0,1,2290,2281,,9,9,0,,,,,
2/19/2026,CA-2,7,Done,,,,,,,,2401,0,0,2264,136,0,0,1,2290,2278,,12,9,3,,,,,
2/20/2026,CA-2,7,Done,,,,,,,,2432,0,0,2299,132,0,0,1,2290,2289,,1,1,0,,,,,
2/23/2026,CA-2,8,Done,,,,,,,,2427,0,0,2292,134,0,0,1,2290,2286,,4,1,3,,,,,
2/24/2026,CA-2,8,Done,,,,,,,,2401,0,0,2264,136,0,0,1,2290,2282,,8,5,3,,,,,
2/25/2026,CA-2,8,Done,,,,,,,,2395,0,0,2257,137,0,0,1,2290,2288,,2,1,1,,,,,
2/26/2026,CA-2,8,Done,,,,,,,,2413,0,0,2278,134,0,0,1,2287,2285,,2,1,1,,,,,
2/27/2026,CA-2,8,Done,,,,,,,,2412,0,0,2275,136,0,0,1,2287,2285,,2,1,1,,,,,
3/2/2026,CA-2,9,Done,,,,,,,,2435,0,0,2295,139,0,0,1,2287,2276,,11,7,4,,,,,
3/3/2026,CA-2,9,Done,,,,,,,,2409,0,0,2273,135,0,0,1,2287,2280,,7,6,1,,,,,
3/4/2026,CA-2,9,Done,,,,,,,,2361,0,0,2233,127,0,0,1,2287,2269,,18,17,1,,,,,
3/5/2026,CA-2,9,Done,,,,,,,,2346,0,0,2218,127,0,0,1,2287,2275,,12,11,1,,,,,
3/6/2026,CA-2,9,Done,,,,,,,,2356,0,0,2224,131,0,0,1,2287,2277,,10,9,1,,,,,
3/9/2026,CA-2,10,Done,,,,,,,,2343,0,0,2224,131,0,0,1,2287,2266,,21,20,1,,,,,
3/10/2026,CA-2,10,Done,,,,,,,,2347,0,0,2229,131,0,0,1,2287,2248,,39,38,1,,,,,
3/11/2026,CA-2,10,Done,,,,,,,,2326,0,0,2194,131,0,0,1,2287,2238,,49,47,2,,,,,
3/12/2026,CA-2,10,Done,,,,,,,,2293,0,0,2160,132,0,0,1,2287,2208,,79,78,1,,,,,
3/13/2026,CA-2,10,Done,,,,,,,,2275,0,0,2156,118,0,0,1,2287,2198,,89,88,1,,,,,
3/16/2026,CA-2,11,Done,,,,,,,,2305,0,0,2188,116,0,0,1,2287,2238,,49,48,1,,,,,
3/17/2026,CA-2,11,Done,,,,,,,,2299,0,0,2175,123,0,0,1,2287,2250,,37,36,1,,,,,
3/18/2026,CA-2,11,Done,,,,,,,,2285,0,0,2160,124,0,0,1,2287,2261,,26,24,2,,,,,
3/19/2026,CA-2,11,Done,,,,,,,,2284,0,0,2159,124,0,0,1,2286,2268,,18,18,0,,,,,
3/20/2026,CA-2,11,Done,,,,,,,,2277,0,0,2156,120,0,0,1,2286,2272,,14,13,1,,,,,
3/23/2026,CA-2,12,Done,,,,,,,,2262,0,0,2143,118,0,0,1,2286,2249,,37,36,1,,,,,
3/24/2026,CA-2,12,Done,,,,,,,,2230,0,0,2105,124,0,0,1,2286,2224,,62,59,3,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/10/2025,CA-3,37,Done,,,,,,,,,30,5,,,,,,1,1,,,,,,,,,
9/11/2025,CA-3,37,Done,,,,,,,,,28,5,,,,,,1,1,,,,,,,,,
9/12/2025,CA-3,37,Done,,,,,,,,,25,2,,,,,,1,1,,,,,,,,,
9/13/2025,CA-3,37,Done,,,,,,,,,25,2,,,,,,1,1,,,,,,,,,
9/15/2025,CA-3,38,Done,,,,,,,,,18,2,,,,,,1,1,,,,,,,,,
9/16/2025,CA-3,38,Done,,,,,,,,,16,2,,,,,,1,1,,,,,,,,,
9/17/2025,CA-3,38,Done,,,,,,,,,16,2,,,,,,1,1,,,,,,,,,
9/22/2025,CA-3,39,Done,,,,,,,,,12,2,,,,,,1,1,,,,,,,,,
12/9/2025,CA-3,50,Done,,,,,,,,1150,0,1,768,68,307,6,,1,1,,,,,,,,,
12/10/2025,CA-3,50,Done,,,,,,,,1129,0,1,747,67,307,6,1,1,1,,0,,,,,,,
12/11/2025,CA-3,50,Done,,,,,,,,1109,0,1,737,67,297,6,1,1,1,,0,0,0,,,,,
12/12/2025,CA-3,50,Done,,,,,,,,1108,0,0,737,67,297,6,1,1,1,,0,0,0,,,,,
12/15/2025,CA-3,50,Done,,,,,,,,1201,0,1,737,67,389,6,1,1,1,,0,0,0,,,,,
12/16/2025,CA-3,50,Done,,,,,,,,1202,1,1,737,67,389,6,1,1,1,,0,0,0,,,,,
12/17/2025,CA-3,50,Done,,,,,,,,1153,0,1,744,39,362,6,1,1,1,,0,0,0,,,,,
12/18/2025,CA-3,50,Done,,,,,,,,1099,0,1,705,31,355,6,1,1,1,,0,0,0,,,,,
12/19/2025,CA-3,50,Done,,,,,,,,1166,0,1,704,31,424,5,1,1,1,,0,0,0,,,,,
12/22/2025,CA-3,50,Done,,,,,,,,1083,0,1,707,31,341,2,1,1,1,,0,0,0,,,,,
12/23/2025,CA-3,50,Done,,,,,,,,1119,0,1,726,31,358,2,1,1,1,,0,0,0,,,,,
12/24/2025,CA-3,50,Done,,,,,,,,1113,0,1,729,32,348,2,1,1,1,,0,0,0,,,,,
12/29/2025,CA-3,50,Done,,,,,,,,1035,0,1,652,32,347,2,1,1,1,,0,0,0,,,,,
12/30/2025,CA-3,50,Done,,,,,,,,1022,0,1,649,32,337,2,1,1,1,,0,0,0,,,,,
12/31/2025,CA-3,50,Done,,,,,,,,1013,0,1,650,32,327,2,1,1,1,,0,0,0,,,,,
1/2/2026,CA-3,50,Done,,,,,,,,1077,0,1,650,32,390,3,1,1,1,,0,0,0,,,,,
1/6/2026,CA-3,1,Done,,,,,,,,1060,0,1,650,32,373,3,1,1,1,,0,0,0,,,,,
1/12/2026,CA-3,2,Done,,,,,,,,1009,0,1,610,32,362,3,1,1,1,,0,0,0,,,,,
1/15/2026,CA-3,2,Done,,,,,,,,1065,0,1,585,32,443,3,1,1,1,,0,0,0,,,,,
1/19/2026,CA-3,3,Done,,,,,,,,1077,0,1,596,33,443,3,1,1,1,,0,0,0,,,,,
1/20/2026,CA-3,3,Done,,,,,,,,1056,0,1,596,33,422,3,1,1,1,,0,0,0,,,,,
1/21/2026,CA-3,3,Done,,,,,,,,1030,0,1,571,32,422,3,1,1,1,,0,0,0,,,,,
1/22/2026,CA-3,3,Done,,,,,,,,1006,0,1,556,32,413,3,1,1,1,,0,0,0,,,,,
1/23/2026,CA-3,3,Done,,,,,,,,994,0,1,556,32,401,3,1,1,1,,0,0,0,,,,,
1/26/2026,CA-3,3,Done,,,,,,,,994,0,1,556,32,401,3,1,1,1,,0,0,0,,,,,
1/27/2026,CA-3,3,Done,,,,,,,,984,0,1,556,32,391,3,1,1,1,,0,0,0,,,,,
1/28/2026,CA-3,3,Done,,,,,,,,964,0,1,546,32,381,3,1,1,1,,0,0,0,,,,,
1/29/2026,CA-3,3,Done,,,,,,,,955,0,1,546,32,372,3,1,1,1,,0,0,0,,,,,
1/30/2026,CA-3,3,Done,,,,,,,,946,0,1,546,32,363,3,1,1,1,,0,0,0,,,,,
2/2/2026,CA-3,5,Done,,,,,,,,932,0,1,546,32,349,3,1,1,1,,0,0,0,,,,,
2/3/2026,CA-3,5,Done,,,,,,,,932,0,1,546,32,349,3,1,1,1,,0,0,0,,,,,
2/4/2026,CA-3,5,Done,,,,,,,,949,0,1,546,32,366,3,1,1,1,,0,0,0,,,,,
2/5/2026,CA-3,5,Done,,,,,,,,939,0,1,546,32,356,3,1,1,1,,0,0,0,,,,,
2/6/2026,CA-3,5,Done,,,,,,,,956,0,1,546,32,373,3,1,1,1,,0,0,0,,,,,
2/9/2026,CA-3,6,Done,,,,,,,,928,0,1,540,32,351,3,1,1,1,,0,0,0,,,,,
2/10/2026,CA-3,6,Done,,,,,,,,927,0,0,540,32,351,3,1,1,1,,0,0,0,,,,,
2/11/2026,CA-3,6,Done,,,,,,,,927,0,0,540,32,351,3,1,1,1,,0,0,0,,,,,
2/12/2026,CA-3,6,Done,,,,,,,,927,0,0,540,32,351,3,1,1,1,,0,0,0,,,,,
2/13/2026,CA-3,6,Done,,,,,,,,921,0,0,540,32,345,3,1,1,1,,0,0,0,,,,,
2/16/2026,CA-3,7,Done,,,,,,,,809,0,0,452,32,322,2,1,1,1,,0,0,0,,,,,
2/17/2026,CA-3,7,Done,,,,,,,,807,0,0,452,32,320,2,1,1,1,,0,0,0,,,,,
2/18/2026,CA-3,7,Done,,,,,,,,787,0,0,432,32,320,2,1,1,1,,0,0,0,,,,,
2/19/2026,CA-3,7,Done,,,,,,,,764,0,0,432,32,297,2,1,1,1,,0,0,0,,,,,
2/20/2026,CA-3,7,Done,,,,,,,,748,0,0,432,32,281,2,1,1,1,,0,0,0,,,,,
2/23/2026,CA-3,8,Done,,,,,,,,718,0,0,402,32,281,2,1,1,1,,0,0,0,,,,,
2/24/2026,CA-3,8,Done,,,,,,,,718,0,0,402,32,281,2,1,1,1,,0,0,0,,,,,
2/25/2026,CA-3,8,Done,,,,,,,,715,0,0,399,32,281,2,1,1,1,,0,0,0,,,,,
2/26/2026,CA-3,8,Done,,,,,,,,715,0,0,399,32,281,2,1,1,1,,0,0,0,,,,,
2/27/2026,CA-3,8,Done,,,,,,,,715,0,0,399,32,281,2,1,1,1,,0,0,0,,,,,
3/2/2026,CA-3,9,Done,,,,,,,,668,0,0,352,32,281,2,1,1,1,,0,0,0,,,,,
3/3/2026,CA-3,9,Done,,,,,,,,668,0,0,352,32,281,2,1,1,1,,0,0,0,,,,,
3/4/2026,CA-3,9,Done,,,,,,,,651,0,0,352,32,264,2,1,1,1,,0,0,0,,,,,
3/5/2026,CA-3,9,Done,,,,,,,,767,0,0,352,32,379,3,1,1,1,,0,0,0,,,,,
3/6/2026,CA-3,9,Done,,,,,,,,767,0,0,352,32,379,3,1,1,1,,0,0,0,,,,,
3/9/2026,CA-3,10,Done,,,,,,,,753,0,0,334,36,379,3,1,1,1,,0,0,0,,,,,
3/10/2026,CA-3,10,Done,,,,,,,,753,0,0,334,36,379,3,1,1,1,,0,0,0,,,,,
3/11/2026,CA-3,10,Done,,,,,,,,727,0,0,327,33,363,3,1,1,1,,0,0,0,,,,,
3/12/2026,CA-3,10,Done,,,,,,,,728,0,0,329,36,359,3,1,1,1,,0,0,0,,,,,
3/13/2026,CA-3,10,Done,,,,,,,,738,0,0,338,37,359,3,1,1,1,,0,0,0,,,,,
3/16/2026,CA-3,11,Done,,,,,,,,691,0,0,291,37,359,3,1,1,1,,0,0,0,,,,,
3/17/2026,CA-3,11,Done,,,,,,,,683,0,0,290,38,351,3,1,1,1,,0,0,0,,,,,
3/18/2026,CA-3,11,Done,,,,,,,,689,0,0,290,38,357,3,1,1,1,,0,0,0,,,,,
3/19/2026,CA-3,11,Done,,,,,,,,692,0,0,286,38,364,3,1,1,1,,0,0,0,,,,,
3/20/2026,CA-3,11,Done,,,,,,,,686,0,0,279,38,365,3,1,1,1,,0,0,0,,,,,
3/23/2026,CA-3,12,Done,,,,,,,,690,0,0,269,38,379,3,1,1,1,,0,0,0,,,,,
3/24/2026,CA-3,12,Done,,,,,,,,690,0,0,280,40,366,3,1,1,1,,0,0,0,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
